student_id,name,midterm_score,homework_score,attendance_score,practice_score,final_score
1,Student_1,3.745401188473625,1.8513292883861965,2.6170568373590597,6.72702994208898,3.69182825551474
2,Student_2,9.50714306409916,5.419009473783581,2.469787990719998,7.966813971913723,7.17603081249154
3,Student_3,7.319939418114051,8.729458358764083,9.062545805210366,2.50467898792499,7.6485861512708295
4,Student_4,5.986584841970366,7.322248864095612,2.495461998495061,6.248740996069989,5.04929052012035
5,Student_5,1.5601864044243652,8.065611478614498,2.71949726128631,5.717459831437487,3.8736297229393664
6,Student_6,1.5599452033620265,6.587833667107174,7.593982624179637,8.32830376788271,5.165139675043056
7,Student_7,0.5808361216819946,6.922765645178525,4.4973984245054,9.060870604812605,4.684883788603832
8,Student_8,8.661761457749352,8.491956515653193,7.767105569551812,0.12156771477386807,6.540761211702864
9,Student_9,6.011150117432088,2.4966800885918596,0.6536615756438524,6.740199190587926,4.39051564872023
10,Student_10,7.080725777960454,4.894249636431405,4.875711936733843,0.5183579911972902,3.7846674742354556
11,Student_11,0.20584494295802447,2.2120944181960223,0.3361360018328263,5.488586650773559,0.9596717473196239
12,Student_12,9.699098521619943,9.87668007996647,0.6265320345535452,2.876327290436782,6.357126571361807
13,Student_13,8.324426408004218,9.440593396866133,9.06437453344411,3.067765995221412,8.15026143147017
14,Student_14,2.1233911067827616,0.394268113685059,1.3924537111759516,3.5295850345235658,1.1265762011932148
15,Student_15,1.8182496720710062,7.055751725156885,5.324206822752171,6.212924490496102,5.252635644330525
16,Student_16,1.8340450985343382,9.252483174156659,4.110956026007066,3.340499656687692,4.335905894226849
17,Student_17,3.0424224295953772,1.8057534512733353,3.4734332625884266,7.326990505902804,4.386709735585892
18,Student_18,5.247564316322379,5.679452305526294,8.998333456872725,4.045273855738697,6.678206337610119
19,Student_19,4.319450186421157,9.154882975880419,0.218233967754895,0.6835320030995862,3.817227551424022
20,Student_20,2.9122914019804194,0.3394597858579884,6.637896861755891,7.837598424841072,3.330611921597396
21,Student_21,6.118528947223795,6.974202672468399,9.633944342135504,2.85758324592706,6.248732947652633
22,Student_22,1.3949386065204183,2.9734900737255074,5.60168183461842,4.3276687959926265,2.7774619005562844
23,Student_23,2.9214464853521815,9.243961953765304,9.368224620330919,6.8544388322190155,7.2389229088286395
24,Student_24,3.663618432936917,9.710582451653679,0.5225787928602377,3.32456157148712,5.433817707343222
25,Student_25,4.56069984217036,9.442664891134338,4.187933190741614,0.5658565614671562,5.497951632255598
26,Student_26,7.851759613930136,4.742142166574638,2.6015779096205116,3.739210470128136,5.695029104599861
27,Student_27,1.9967378215835974,8.620426509893134,7.3082096498072975,9.444485826943033,6.329672719208034
28,Student_28,5.142344384136116,8.445493985350703,9.812970904972467,6.417343972985582,6.635048427855377
29,Student_29,5.924145688620425,3.1910047324325563,2.565300624442478,6.71479148667207,5.066465443333988
30,Student_30,0.46450412719997725,8.289154741506774,6.5417460147407445,6.322821536376399,4.919960181118562
31,Student_31,6.075448519014383,0.3700763471549262,1.9809763275974013,1.989921389594368,3.0703786537474116
32,Student_32,1.7052412368729153,5.96269878482053,5.653302545716099,4.183338641022801,3.808998127819345
33,Student_33,0.6505159298527952,2.3000883728770303,4.639324866883362,7.509397983633183,2.477385130535602
34,Student_34,9.488855372533333,1.205668857772788,9.72005329631537,1.0137289755315915,6.340277314436754
35,Student_35,9.656320330745594,0.7695320162920916,6.085272726964666,2.7785277608971226,4.212918817544862
36,Student_36,8.08397348116461,6.962887758781397,3.495063720868188,2.763191084658536,6.742551321016109
37,Student_37,3.0461376917337066,3.3987496376806616,1.1409578488793337,4.32018927594506,3.980255488922084
38,Student_38,0.9767211400638387,7.247667715287615,1.5124682873493456,9.803687409421851,5.318184003775755
39,Student_39,6.842330265121569,0.6535634079894237,2.2531692995123507,0.6750254668382194,3.1532529793674064
40,Student_40,4.4015249373960135,3.152903378306103,2.50966661340298,5.1870099438059505,3.9612779066545905
41,Student_41,1.2203823484477883,5.394912923753372,8.506160578411379,1.7936468201221045,4.776753152122714
42,Student_42,4.951769101112702,7.907231648389636,5.612227882825249,9.706765454097441,6.500377935474215
43,Student_43,0.34388521115218396,3.187525029320699,5.233909113743664,1.133035047274642,2.2681743293152805
44,Student_44,9.093204020787821,6.2589137643700905,1.1476887186921747,4.036010023615912,5.881155022741995
45,Student_45,2.587799816000169,8.85977748236187,8.60139693349435,7.378849848346062,6.452703497615676
46,Student_46,6.62522284353982,6.158631881823045,7.228143032084837,7.045544280274453,6.5448667882612535
47,Student_47,3.1171107608941098,2.329594747536338,0.6766836190000158,4.227286368939323,2.2753749851211706
48,Student_48,5.200680211778108,0.2440078155653802,7.078350972297686,3.4652416795271823,3.870588571937092
49,Student_49,5.4671027934327965,8.700988739009299,5.4353821734264605,3.9761237855287055,6.833877707553894
50,Student_50,1.8485445552552704,0.21269410850387138,0.8172534574677826,2.642762631586393,0.7134315729512033
51,Student_51,9.695846277645586,8.747016726841995,4.583006415286564,2.053329387067998,7.728992139324069
52,Student_52,7.7513282336111455,5.28937134027212,4.8469628713004695,4.8303969755889,6.225857149039313
53,Student_53,9.394989415641891,9.390676985128962,1.6577454016327575,2.685337560676073,7.150862938053082
54,Student_54,8.948273504276488,7.987832357736654,9.456981470002823,2.874616648972501,7.65953276765903
55,Student_55,5.978999788110851,9.979341105333376,8.49975371480662,6.56756063474557,8.359998540791834
56,Student_56,9.218742350231167,3.5071181545171015,6.690223373291083,9.685373316998922,6.125278284161415
57,Student_57,0.884925020519195,7.671882889311269,4.622955610006072,6.036372005593751,5.335668745628174
58,Student_58,1.959828624191452,4.019309136092422,4.1176554158450855,0.7697946706496628,1.8515090635548448
59,Student_59,0.45227288910538066,4.798756203039089,6.509734671509541,0.7558361385406698,3.808249642379108
60,Student_60,3.2533033076326436,6.275054632183701,5.4543186940690545,9.51423220845566,6.836143056927133
61,Student_61,3.8867728968948203,8.736771141863388,0.6227310588188562,2.9729079030733363,4.094325928359456
62,Student_62,2.713490317738959,9.840834691992951,5.125026487703317,0.9206698608247543,4.396073885196774
63,Student_63,8.287375091519294,7.682734138645182,8.064036172328395,5.990445871503816,8.132655905531866
64,Student_64,3.567533266935893,4.177667821673338,4.59239877596958,6.236487782902661,3.995390320197724
